2025-04-04 02:05:55 startup archives install
2025-04-04 02:05:55 install base-passwd:arm64 <none> 3.5.47
2025-04-04 02:05:55 status half-installed base-passwd:arm64 3.5.47
2025-04-04 02:05:55 status unpacked base-passwd:arm64 3.5.47
2025-04-04 02:05:55 configure base-passwd:arm64 3.5.47 3.5.47
2025-04-04 02:05:55 status half-configured base-passwd:arm64 3.5.47
2025-04-04 02:05:55 status installed base-passwd:arm64 3.5.47
2025-04-04 02:05:55 startup archives install
2025-04-04 02:05:55 install base-files:arm64 <none> 11ubuntu5
2025-04-04 02:05:55 status half-installed base-files:arm64 11ubuntu5
2025-04-04 02:05:55 status unpacked base-files:arm64 11ubuntu5
2025-04-04 02:05:55 configure base-files:arm64 11ubuntu5 11ubuntu5
2025-04-04 02:05:55 status half-configured base-files:arm64 11ubuntu5
2025-04-04 02:05:55 status installed base-files:arm64 11ubuntu5
2025-04-04 02:05:55 startup archives install
2025-04-04 02:05:55 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2025-04-04 02:05:55 status half-configured dpkg 1.19.7ubuntu3
2025-04-04 02:05:55 status unpacked dpkg 1.19.7ubuntu3
2025-04-04 02:05:55 status half-installed dpkg 1.19.7ubuntu3
2025-04-04 02:05:55 status unpacked dpkg:arm64 1.19.7ubuntu3
2025-04-04 02:05:55 configure dpkg:arm64 1.19.7ubuntu3 1.19.7ubuntu3
2025-04-04 02:05:55 status half-configured dpkg:arm64 1.19.7ubuntu3
2025-04-04 02:05:55 status installed dpkg:arm64 1.19.7ubuntu3
2025-04-04 02:05:55 startup archives install
2025-04-04 02:05:55 install libc6:arm64 <none> 2.31-0ubuntu9
2025-04-04 02:05:55 status half-installed libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:56 status unpacked libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:56 configure libc6:arm64 2.31-0ubuntu9 2.31-0ubuntu9
2025-04-04 02:05:56 status half-configured libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:56 status installed libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:56 startup archives install
2025-04-04 02:05:56 install perl-base:arm64 <none> 5.30.0-9build1
2025-04-04 02:05:56 status half-installed perl-base:arm64 5.30.0-9build1
2025-04-04 02:05:56 status unpacked perl-base:arm64 5.30.0-9build1
2025-04-04 02:05:56 configure perl-base:arm64 5.30.0-9build1 5.30.0-9build1
2025-04-04 02:05:56 status half-configured perl-base:arm64 5.30.0-9build1
2025-04-04 02:05:56 status installed perl-base:arm64 5.30.0-9build1
2025-04-04 02:05:56 startup archives install
2025-04-04 02:05:56 install mawk:arm64 <none> 1.3.4.20200120-2
2025-04-04 02:05:56 status half-installed mawk:arm64 1.3.4.20200120-2
2025-04-04 02:05:56 status unpacked mawk:arm64 1.3.4.20200120-2
2025-04-04 02:05:56 configure mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2025-04-04 02:05:56 status half-configured mawk:arm64 1.3.4.20200120-2
2025-04-04 02:05:56 status installed mawk:arm64 1.3.4.20200120-2
2025-04-04 02:05:56 startup archives unpack
2025-04-04 02:05:56 upgrade base-files:arm64 11ubuntu5 11ubuntu5
2025-04-04 02:05:56 status half-configured base-files:arm64 11ubuntu5
2025-04-04 02:05:56 status unpacked base-files:arm64 11ubuntu5
2025-04-04 02:05:56 status half-installed base-files:arm64 11ubuntu5
2025-04-04 02:05:56 status unpacked base-files:arm64 11ubuntu5
2025-04-04 02:05:56 upgrade base-passwd:arm64 3.5.47 3.5.47
2025-04-04 02:05:56 status half-configured base-passwd:arm64 3.5.47
2025-04-04 02:05:56 status unpacked base-passwd:arm64 3.5.47
2025-04-04 02:05:56 status half-installed base-passwd:arm64 3.5.47
2025-04-04 02:05:56 status unpacked base-passwd:arm64 3.5.47
2025-04-04 02:05:56 install bash:arm64 <none> 5.0-6ubuntu1
2025-04-04 02:05:56 status half-installed bash:arm64 5.0-6ubuntu1
2025-04-04 02:05:56 status unpacked bash:arm64 5.0-6ubuntu1
2025-04-04 02:05:56 install bsdutils:arm64 <none> 1:2.34-0.1ubuntu9
2025-04-04 02:05:56 status half-installed bsdutils:arm64 1:2.34-0.1ubuntu9
2025-04-04 02:05:56 status unpacked bsdutils:arm64 1:2.34-0.1ubuntu9
2025-04-04 02:05:56 install coreutils:arm64 <none> 8.30-3ubuntu2
2025-04-04 02:05:56 status half-installed coreutils:arm64 8.30-3ubuntu2
2025-04-04 02:05:57 status unpacked coreutils:arm64 8.30-3ubuntu2
2025-04-04 02:05:57 install dash:arm64 <none> 0.5.10.2-6
2025-04-04 02:05:57 status half-installed dash:arm64 0.5.10.2-6
2025-04-04 02:05:57 status unpacked dash:arm64 0.5.10.2-6
2025-04-04 02:05:57 install debconf:all <none> 1.5.73
2025-04-04 02:05:57 status half-installed debconf:all 1.5.73
2025-04-04 02:05:57 status unpacked debconf:all 1.5.73
2025-04-04 02:05:57 install debianutils:arm64 <none> 4.9.1
2025-04-04 02:05:57 status half-installed debianutils:arm64 4.9.1
2025-04-04 02:05:57 status unpacked debianutils:arm64 4.9.1
2025-04-04 02:05:57 install diffutils:arm64 <none> 1:3.7-3
2025-04-04 02:05:57 status half-installed diffutils:arm64 1:3.7-3
2025-04-04 02:05:57 status unpacked diffutils:arm64 1:3.7-3
2025-04-04 02:05:57 upgrade dpkg:arm64 1.19.7ubuntu3 1.19.7ubuntu3
2025-04-04 02:05:57 status half-configured dpkg:arm64 1.19.7ubuntu3
2025-04-04 02:05:57 status unpacked dpkg:arm64 1.19.7ubuntu3
2025-04-04 02:05:57 status half-installed dpkg:arm64 1.19.7ubuntu3
2025-04-04 02:05:57 status unpacked dpkg:arm64 1.19.7ubuntu3
2025-04-04 02:05:57 install e2fsprogs:arm64 <none> 1.45.5-2ubuntu1
2025-04-04 02:05:57 status half-installed e2fsprogs:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:57 status unpacked e2fsprogs:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:57 install fdisk:arm64 <none> 2.34-0.1ubuntu9
2025-04-04 02:05:57 status half-installed fdisk:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:57 status unpacked fdisk:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:57 install findutils:arm64 <none> 4.7.0-1ubuntu1
2025-04-04 02:05:57 status half-installed findutils:arm64 4.7.0-1ubuntu1
2025-04-04 02:05:57 status unpacked findutils:arm64 4.7.0-1ubuntu1
2025-04-04 02:05:57 install gcc-10-base:arm64 <none> 10-20200411-0ubuntu1
2025-04-04 02:05:57 status half-installed gcc-10-base:arm64 10-20200411-0ubuntu1
2025-04-04 02:05:57 status unpacked gcc-10-base:arm64 10-20200411-0ubuntu1
2025-04-04 02:05:57 install grep:arm64 <none> 3.4-1
2025-04-04 02:05:57 status half-installed grep:arm64 3.4-1
2025-04-04 02:05:57 status unpacked grep:arm64 3.4-1
2025-04-04 02:05:57 install gzip:arm64 <none> 1.10-0ubuntu4
2025-04-04 02:05:57 status half-installed gzip:arm64 1.10-0ubuntu4
2025-04-04 02:05:57 status unpacked gzip:arm64 1.10-0ubuntu4
2025-04-04 02:05:57 install hostname:arm64 <none> 3.23
2025-04-04 02:05:57 status half-installed hostname:arm64 3.23
2025-04-04 02:05:57 status unpacked hostname:arm64 3.23
2025-04-04 02:05:57 install init-system-helpers:all <none> 1.57
2025-04-04 02:05:57 status half-installed init-system-helpers:all 1.57
2025-04-04 02:05:57 status unpacked init-system-helpers:all 1.57
2025-04-04 02:05:57 install libacl1:arm64 <none> 2.2.53-6
2025-04-04 02:05:57 status half-installed libacl1:arm64 2.2.53-6
2025-04-04 02:05:57 status unpacked libacl1:arm64 2.2.53-6
2025-04-04 02:05:57 install libattr1:arm64 <none> 1:2.4.48-5
2025-04-04 02:05:57 status half-installed libattr1:arm64 1:2.4.48-5
2025-04-04 02:05:57 status unpacked libattr1:arm64 1:2.4.48-5
2025-04-04 02:05:57 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2025-04-04 02:05:57 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2025-04-04 02:05:57 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2025-04-04 02:05:57 install libaudit1:arm64 <none> 1:2.8.5-2ubuntu6
2025-04-04 02:05:57 status half-installed libaudit1:arm64 1:2.8.5-2ubuntu6
2025-04-04 02:05:57 status unpacked libaudit1:arm64 1:2.8.5-2ubuntu6
2025-04-04 02:05:57 install libblkid1:arm64 <none> 2.34-0.1ubuntu9
2025-04-04 02:05:57 status half-installed libblkid1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:57 status unpacked libblkid1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:57 install libbz2-1.0:arm64 <none> 1.0.8-2
2025-04-04 02:05:57 status half-installed libbz2-1.0:arm64 1.0.8-2
2025-04-04 02:05:57 status unpacked libbz2-1.0:arm64 1.0.8-2
2025-04-04 02:05:57 install libc-bin:arm64 <none> 2.31-0ubuntu9
2025-04-04 02:05:57 status half-installed libc-bin:arm64 2.31-0ubuntu9
2025-04-04 02:05:57 status unpacked libc-bin:arm64 2.31-0ubuntu9
2025-04-04 02:05:58 upgrade libc6:arm64 2.31-0ubuntu9 2.31-0ubuntu9
2025-04-04 02:05:58 status half-configured libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:58 status unpacked libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:58 status half-installed libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:58 status unpacked libc6:arm64 2.31-0ubuntu9
2025-04-04 02:05:58 install libcap-ng0:arm64 <none> 0.7.9-2.1build1
2025-04-04 02:05:58 status half-installed libcap-ng0:arm64 0.7.9-2.1build1
2025-04-04 02:05:58 status unpacked libcap-ng0:arm64 0.7.9-2.1build1
2025-04-04 02:05:58 install libcom-err2:arm64 <none> 1.45.5-2ubuntu1
2025-04-04 02:05:58 status half-installed libcom-err2:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:58 status unpacked libcom-err2:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:58 install libcrypt1:arm64 <none> 1:4.4.10-10ubuntu4
2025-04-04 02:05:58 status half-installed libcrypt1:arm64 1:4.4.10-10ubuntu4
2025-04-04 02:05:58 status unpacked libcrypt1:arm64 1:4.4.10-10ubuntu4
2025-04-04 02:05:58 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.6ubuntu2
2025-04-04 02:05:58 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2025-04-04 02:05:58 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2025-04-04 02:05:58 install libdebconfclient0:arm64 <none> 0.251ubuntu1
2025-04-04 02:05:58 status half-installed libdebconfclient0:arm64 0.251ubuntu1
2025-04-04 02:05:58 status unpacked libdebconfclient0:arm64 0.251ubuntu1
2025-04-04 02:05:58 install libext2fs2:arm64 <none> 1.45.5-2ubuntu1
2025-04-04 02:05:58 status half-installed libext2fs2:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:58 status unpacked libext2fs2:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:58 install libfdisk1:arm64 <none> 2.34-0.1ubuntu9
2025-04-04 02:05:58 status half-installed libfdisk1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:58 status unpacked libfdisk1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:58 install libgcc-s1:arm64 <none> 10-20200411-0ubuntu1
2025-04-04 02:05:58 status half-installed libgcc-s1:arm64 10-20200411-0ubuntu1
2025-04-04 02:05:58 status unpacked libgcc-s1:arm64 10-20200411-0ubuntu1
2025-04-04 02:05:58 install libgcrypt20:arm64 <none> 1.8.5-5ubuntu1
2025-04-04 02:05:58 status half-installed libgcrypt20:arm64 1.8.5-5ubuntu1
2025-04-04 02:05:58 status unpacked libgcrypt20:arm64 1.8.5-5ubuntu1
2025-04-04 02:05:58 install libgpg-error0:arm64 <none> 1.37-1
2025-04-04 02:05:58 status half-installed libgpg-error0:arm64 1.37-1
2025-04-04 02:05:58 status unpacked libgpg-error0:arm64 1.37-1
2025-04-04 02:05:58 install liblz4-1:arm64 <none> 1.9.2-2
2025-04-04 02:05:58 status half-installed liblz4-1:arm64 1.9.2-2
2025-04-04 02:05:58 status unpacked liblz4-1:arm64 1.9.2-2
2025-04-04 02:05:58 install liblzma5:arm64 <none> 5.2.4-1
2025-04-04 02:05:58 status half-installed liblzma5:arm64 5.2.4-1
2025-04-04 02:05:58 status unpacked liblzma5:arm64 5.2.4-1
2025-04-04 02:05:58 install libmount1:arm64 <none> 2.34-0.1ubuntu9
2025-04-04 02:05:58 status half-installed libmount1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:58 status unpacked libmount1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:58 install libncurses6:arm64 <none> 6.2-0ubuntu2
2025-04-04 02:05:58 status half-installed libncurses6:arm64 6.2-0ubuntu2
2025-04-04 02:05:58 status unpacked libncurses6:arm64 6.2-0ubuntu2
